job_title,company,location,experience,posted_time,job_url,city,page_no
Data Analyst,MR Chemie,Hyderabad,2-5 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-mr-chemie-india-pvt-ltd-hyderabad-2-to-5-years-180425504465,Hyderabad,5
Data Analyst - Fraud,Proclink,"Hyderabad, Ahmedabad",2-5 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-fraud-proclink-consulting-services-llp-hyderabad-ahmedabad-2-to-5-years-021225504046,Hyderabad,5
Data Analyst,Apptad,"Hyderabad, Warangal, Nizamabad",5-10 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-apptad-inc-warangal-hyderabad-nizamabad-5-to-10-years-041225500388,Hyderabad,5
Data Analyst,Fortune India 500 IT Services Firm,"Hybrid - Hyderabad, Chennai, Bengaluru",5-9 Yrs,2 weeks ago,https://www.naukri.com/job-listings-data-analyst-srs-infoway-hyderabad-chennai-bengaluru-5-to-9-years-150126918024,Hyderabad,5
Data Analyst,Othain Software Services India,Hyderabad,4-7 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-othain-software-services-india-private-limited-hyderabad-4-to-7-years-021225503989,Hyderabad,5
Data Analyst,Ahoi Technology,"Hyderabad, Mumbai, New Delhi, Pune, Chennai",1-2 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-ahoi-technology-recruitment-agency-mumbai-hyderabad-new-delhi-pune-chennai-1-to-2-years-190725500007,Hyderabad,5
Presales Data Analyst,Dilytics,Hyderabad,1-10 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-presales-data-analyst-dilytics-technologies-private-limited-hyderabad-1-to-10-years-210624502331,Hyderabad,5
Data Analyst,DAZN,Hyderabad,1-3 Yrs,3 weeks ago,https://www.naukri.com/job-listings-data-analyst-dazn-group-hyderabad-1-to-3-years-090126502396,Hyderabad,6
Data Analyst - (HSBC),Leading Client,Hyderabad,3-7 Yrs,2 weeks ago,https://www.naukri.com/job-listings-data-analyst-hsbc-ideslabs-private-limited-hyderabad-3-to-7-years-140126938405,Hyderabad,6
Data Scientist,NTT DATA,Hyderabad,5-8 Yrs,2 weeks ago,https://www.naukri.com/job-listings-data-scientist-ntt-data-hyderabad-5-to-8-years-140126029584,Hyderabad,6
